Disease Name,Category,Question,Answer,
Sheath Rot,Symptoms,How can sheath rot symptoms be differentiated from brown spot?,"Differentiating sheath rot symptoms from brown spot symptoms is important as they are distinct diseases with different management strategies. Sheath rot primarily affects the uppermost leaf sheaths enclosing the panicles, causing oblong or irregular spots with dark reddish-brown margins and gray or light brown centers. A key distinguishing feature is the whitish powdery fungal growth found inside the infected sheaths and the resulting problems with panicle emergence, grain discoloration, and sterility. In contrast, brown spot, caused by Bipolaris oryzae, mainly affects the leaf blades (though it can occur on sheaths) and produces numerous, small, circular to oval spots. These spots are typically dark brown, often with a yellow halo, and do not show the characteristic whitish fungal growth or direct interference with panicle emergence as seen in sheath rot. Brown spot lesions are more uniform in size and color, lacking the distinct gray center and dark margin of mature sheath rot lesions, and the primary damage is to leaf area rather than the uppermost sheath's functionality.",
Sheath Rot,Symptoms,What does the fungal growth inside infected sheaths look like?,"The fungal growth inside infected sheaths, characteristic of sheath rot, typically appears as an abundant whitish powdery growth or mycelium. This powdery appearance is a strong diagnostic feature, particularly visible when the infected sheath is carefully opened to reveal the young, developing panicle. This whitish fungal growth consists of the spores (conidia) and hyphae of the pathogen, predominantly Sarocladium oryzae. In severe infections, this growth can be quite profuse, not only covering the inner surface of the affected sheath but also extending onto the young panicle itself, which is often rotting inside. This internal fungal growth is critical to the disease's pathology as it directly contributes to the damage of the developing panicle, leading to its abortion, non-emergence, and subsequent grain discoloration and sterility. Its presence distinguishes sheath rot from other diseases that might cause similar external sheath discoloration but lack this internal powdery fungal mass.",
Sheath Rot,Symptoms,At what stage does the panicle rot symptom appear in sheath rot?,"The panicle rot symptom in sheath rot predominantly appears during the booting stage and progresses into the heading/panicle emergence stage. The pathogen infects the uppermost leaf sheath as it encloses the young panicle during the booting phase. As the disease advances, the infection within this sheath prevents the panicle from emerging fully or even partially. Consequently, the young panicle, trapped inside the rotting sheath, begins to decompose. This rotting manifests as the florets turning red-brown to dark brown, and the developing grains becoming chaffy, shriveled, or sterile. Therefore, while initial sheath lesions might be visible slightly earlier, the destructive panicle rot symptom becomes evident and impactful from the late booting stage, as panicle emergence is hindered, and continues through the heading stage, leading to direct yield loss. This critical timing underscores why prevention at the booting stage is paramount.",
Sheath Rot,Symptoms,What kind of odor may be produced from infected sheaths?,"The provided search results do not explicitly mention a specific odor being produced from sheath rot infected rice sheaths. While rotting plant material, especially in humid conditions, can often produce a foul or distinctive smell due to microbial decomposition, this is not highlighted as a diagnostic symptom for sheath rot in the given information. The key visual and physical symptoms described include discoloration (gray, brown, reddish-brown), lesion formation (oblong, irregular spots with distinct margins), rotting of the sheath, impeded panicle emergence, grain discoloration, and the presence of a whitish powdery fungal growth (mycelium) inside the affected sheaths. Therefore, relying on visual cues and physical examination of the sheath and panicle, rather than an odor, would be the standard approach for identifying sheath rot based on the provided context.",
Sheath Rot,Symptoms,Do sheath rot symptoms appear uniformly in the field?,"No, sheath rot symptoms typically do not appear uniformly throughout the field. Instead, they often occur in scattered patches or affect individual tillers, especially in the early stages of an outbreak. While the disease is ubiquitous in all rice-growing areas, its incidence can vary within a field due to several factors. For instance, areas with higher planting density, excessive nitrogen fertilizer application, or specific microclimates (high humidity, prolonged leaf wetness) are more prone to severe infection. The disease may also be more prevalent in areas where insect activity has caused wounds, providing entry points for the pathogen. Even though sheath rot is widespread, the manifestation can be localized initially, affecting scattered tillers or plants along the levee, before potentially spreading to larger areas. Therefore, vigilant field scouting involves looking for these characteristic symptoms in various parts of the field, recognizing that uniform distribution is not a common early feature.",
Sheath Rot,Symptoms,What happens to the grains inside a sheath rot infected panicle?,"When sheath rot infects the panicle, particularly by affecting the uppermost leaf sheath enclosing it, the grains inside suffer severe and direct damage. The infection disrupts the nutrient and water flow to the developing grains, leading to a range of detrimental outcomes. The grains become chaffy, meaning they are empty or poorly filled. They are also prone to sterility, where no viable grain develops. Additionally, the grains often exhibit discoloration, turning red-brown to dark brown or even black. This discoloration, coupled with shriveling, significantly reduces their quality, viability, and nutritional value. In severe cases of panicle rot, entire panicles may fail to emerge or remain partially emerged, and the florets rot, leading to a complete absence of healthy grains. Some causal agents like Fusarium species can also contaminate grains with mycotoxins. Overall, the grains become unmarketable and unsuitable for consumption or processing, causing significant yield and quality losses.",
Sheath Rot,Symptoms,Is sheath rot associated with premature panicle emergence?,"No, sheath rot is not associated with premature panicle emergence; in fact, it causes the opposite effect: retarded or aborted panicle emergence. The disease specifically attacks the uppermost leaf sheaths that enclose the young panicles, especially during the booting stage. The lesions and rotting caused by the pathogen (Sarocladium oryzae or other associated organisms) restrict the panicle's ability to exert itself from the sheath. In severe cases, the young panicle remains entirely trapped within the sheath, leading to its complete rotting. Even if it partially emerges, its development is hindered. The failure of the panicle to emerge properly is a hallmark symptom of sheath rot, directly leading to chaffy, sterile, and discolored grains. Therefore, instead of emerging prematurely, panicles are either delayed, partially exerted, or completely un-emerged due to the constricting and rotting action of the sheath rot disease.",
Sheath Rot,Symptoms,How does humidity influence sheath rot symptom visibility?,"High humidity significantly influences sheath rot symptom visibility and severity because it provides optimal conditions for the growth and sporulation of the causal pathogens, primarily Sarocladium oryzae. In environments with high relative humidity, often between 65% to 85% RH, fungal mycelial growth becomes more abundant and visibly powdery, especially inside and on the outer surface of infected sheaths. This makes the characteristic whitish powdery growth more prominent. High humidity also favors the development and spread of lesions; it prolongs leaf wetness, which is essential for spore germination and infection, leading to more extensive and coalescing lesions on the uppermost leaf sheaths. Consequently, symptoms such as sheath discoloration, rotting, and the subsequent failure of panicle emergence become more pronounced and widespread under consistently humid conditions. Therefore, high humidity increases both the disease incidence and the clarity of its diagnostic symptoms, making it easier for farmers to observe the progression of sheath rot in the field.",
Sheath Rot,Symptoms,Can sheath rot symptoms appear on leaves or only on sheaths?,"Sheath rot symptoms primarily appear on the uppermost leaf sheaths that enclose the young panicles. The disease is characterized by lesions and rotting specifically on these sheaths. While some sources might broadly mention oblong to irregular spots on the leaves (0.5 to 1.5 mm) that enclose the panicles, this is referring to the leaf sheath rather than the blade of the leaf itself. The flag leaf sheath is a common site of infection. There is no strong indication in the provided search results that sheath rot causes distinct, widespread lesions on the leaf blades similar to other diseases like rice blast or brown spot. The disease's name itself, ""sheath rot"", indicates its primary target. Therefore, farmers should focus their identification efforts on the sheaths, especially the flag leaf sheath, for characteristic oblong or irregular spots with brown margins and gray centers, and the whitish powdery fungal growth within.",
Sheath Rot,Symptoms,What is the color of infected sheath tissue in sheath rot?,"The color of infected sheath tissue in sheath rot typically undergoes significant changes, primarily manifesting as discoloration and rotting. Initially, lesions on the uppermost leaf sheaths begin as oblong or irregular spots with characteristic coloring. These spots often have dark reddish-brown margins and gray or light brown centers. However, the entire lesion can also appear uniformly grayish-brown throughout. As the infection progresses and lesions enlarge and coalesce, the affected sheath tissue becomes extensively rotten and discolored. The rotting portions can turn red-brown to dark brown. In severe cases, particularly inside the affected sheaths where the panicle is trapped, the tissue will be dark brown or reddish-brown due to decomposition. This range of brown, reddish-brown, and grayish discoloration, coupled with the soft, rotting texture, is a key visual characteristic of sheath rot.",
Sheath Rot,Symptoms,Does sheath rot cause any shriveling in grains?,"Yes, sheath rot definitely causes shriveling in grains. This is a significant symptom and a major contributor to yield loss and reduced grain quality. When the uppermost leaf sheaths, enclosing the young panicles, are infected, the disease disrupts the flow of nutrients and water to the developing grains. This interruption, often due to rotting of the panicle base within the sheath, prevents the grains from fully filling. Consequently, the grains become shriveled, appearing small, thin, and underdeveloped. Along with shriveling, they are often chaffy (empty or partially filled) and discolored (red-brown to dark brown). This shriveling makes the grains lightweight and reduces their market value, directly impacting the farmer's economic returns. The phenomenon of shriveling is a clear indication of the severe physiological damage sheath rot inflicts on the developing kernels.",
Sheath Rot,Symptoms,How quickly do sheath rot symptoms spread across the field?,"The search results do not provide a specific timeframe (e.g., ""within days"" or ""weeks"") for how quickly sheath rot symptoms spread across an entire field. However, general information suggests that secondary infections, resulting from conidia or bacterial cells released from infected plants, can be spread by wind or rain to healthy plants. This indicates a potential for relatively rapid localized spread once conditions are favorable. The disease's incidence is known to increase with factors like increasing planting density and high relative humidity, which facilitate spore dispersal and infection. While individual tillers or plants along the levee may show initial symptoms, occasionally large areas of a field can experience significant damage. Therefore, under conducive conditions, localized infections have the potential to spread across a field, but the speed will depend heavily on environmental factors, inoculum levels, and the susceptibility of the rice variety. The disease's progression is more about gradual development and intensification rather than an explosive, rapid-fire spread seen in some other diseases.",
Sheath Rot,Symptoms,Are sheath rot lesions circular or elongated?,"Sheath rot lesions are typically elongated, described as oblong or somewhat irregular spots. They are not usually circular. These lesions, found on the uppermost leaf sheaths enclosing the young panicles, often measure between 0.5 to 1.5 cm long. They are characterized by brown margins and gray or light brown centers, or they may appear grayish-brown throughout. As the disease progresses, these oblong or irregular spots can enlarge and frequently coalesce, merging to form larger, more extensive patches that cover much of the leaf sheath. The elongated, irregular nature of the lesions, rather than a distinct circular shape, is a key visual characteristic that helps in differentiating sheath rot from other rice diseases that might produce more rounded spots, such as brown spot. This morphology is consistent across descriptions of sheath rot symptoms.",
Sheath Rot,Symptoms,What part of the sheath tissue turns necrotic first?,"The initial lesions of sheath rot appear as discolored spots on the uppermost leaf sheaths, indicating that necrosis (tissue death) begins in these localized areas. These spots are described as oblong or irregular, with brown margins and gray centers, or they may be grayish-brown throughout. The central, gray or light brown part of the lesion often represents the initial necrotic or dying tissue, surrounded by a darker, reddish-brown margin that forms as the plant reacts to the infection and necrosis spreads. As the disease progresses, these lesions enlarge and coalesce, and the necrosis extends to cover larger portions of the leaf sheath, eventually leading to the entire sheath rotting. Therefore, the tissue within the developing spots on the uppermost leaf sheaths is the first to turn necrotic, signifying the active killing of plant cells by the phytotoxins produced by the causal pathogens like Sarocladium oryzae.",
Sheath Rot,Symptoms,How can sheath rot infection affect flag leaf appearance?,"Sheath rot infection primarily affects the flag leaf sheath, which is the uppermost leaf sheath enclosing the young panicle, rather than the flag leaf blade itself, but it can indirectly impact the flag leaf's appearance. The initial symptoms are lesions on this flag leaf sheath. As the disease progresses, these lesions enlarge and coalesce, causing the sheath to rot and discolor, turning grayish-brown, red-brown, or dark brown. In severe cases, the flag leaf sheath may become completely enveloped in rotting tissue. Consequently, the flag leaf blade, deprived of proper support and nutrient flow due to the diseased sheath below, may lose its normal green color, becoming straw-yellow and dry. This premature yellowing and drying of the flag leaf blade is an indirect consequence of the severe infection of its subtending sheath, impacting its physiological function and overall appearance, and signaling a significant threat to panicle development and grain filling.",
Sheath Rot,Symptoms,What signs appear on the inner side of infected sheaths?,"On the inner side of infected sheaths, a highly diagnostic sign of sheath rot is the presence of an abundant whitish powdery fungal growth, often referred to as mycelium. This powdery substance consists of the spores and hyphae of the pathogen, predominantly Sarocladium oryzae. This growth is particularly noticeable when the infected sheath is carefully peeled back to reveal the young, developing panicle. In severe cases, this whitish powdery growth can also be found on the surface of the young panicle itself, which is often rotting inside the sheath. In addition to the fungal growth, the inner sheath tissue will also exhibit the discoloration and rotting characteristic of the disease, appearing dark brown or reddish-brown due to necrosis. This internal fungal growth is a key feature that helps differentiate sheath rot from other diseases and directly contributes to the damage of the panicle and developing grains.",
Sheath Rot,Symptoms,Does sheath rot cause partial or full panicle abortion?,"Yes, sheath rot can cause both partial or full panicle abortion, leading to significant yield loss. The disease specifically targets the uppermost leaf sheaths enclosing the young panicles during the booting stage, which is a critical period for panicle development. The infection causes lesions and rotting of the sheath, which can restrict the panicle's ability to emerge. In severe cases, the panicle may fail to emerge completely, remaining trapped within the rotting sheath, leading to its total abortion. If the panicle partially emerges, the portions that remain inside the sheath or those directly affected by the fungal toxins will rot, resulting in partial sterility. The florets and developing grains within these affected panicles become chaffy, shriveled, or discolored, meaning they are either empty, poorly filled, or completely non-viable. This direct damage to the reproductive structures significantly reduces the number of filled grains and constitutes a major cause of yield reduction.",
Sheath Rot,Symptoms,How does sheath rot impact the flowering stage?,"Sheath rot significantly impacts the flowering stage by affecting the health and successful emergence of the panicle, thereby directly interfering with pollination and grain formation. The most critical damage occurs during the booting stage, just before flowering, when the panicle is enclosed by the uppermost leaf sheath. If this sheath is infected, the panicle may be partially or completely trapped, leading to its rotting. When a panicle cannot fully emerge, it severely compromises the ability of florets to open and release pollen, leading to poor or no pollination. Consequently, this results in panicle sterility, chaffy grains, and incomplete grain filling. Even if some panicles emerge, the stress from the disease can reduce the viability of pollen or ovules, further impacting successful fertilization. Therefore, sheath rot acts as a direct impediment to the reproductive success of the rice plant, leading to significant reductions in grain number and quality during and after the flowering period.",
Sheath Rot,Symptoms,What are the secondary symptoms that follow sheath infection?,"Following the primary sheath infection, which manifests as lesions and rotting on the uppermost leaf sheaths, several critical secondary symptoms develop that directly impact grain yield and quality. These include: 1. Retarded or Aborted Panicle Emergence: The most notable secondary symptom is the failure of the young panicle to fully emerge from the diseased sheath. It may remain partially or completely trapped. 2. Panicle Rot: The un-emerged or partially emerged panicle itself starts to rot within the sheath. 3. Grain Discoloration: Developing grains on affected panicles turn red-brown to dark brown or even black. 4. Chaffiness and Sterility: Grains become empty, partially filled, or completely sterile and shriveled due to disrupted nutrient flow. 5. Whitish Powdery Fungal Growth: An abundant whitish powdery fungal growth (mycelium) becomes visible inside the affected sheaths and on the young panicles. 6. Flag Leaf Discoloration: The flag leaf blade associated with the infected sheath may turn straw-yellow and dry prematurely. These secondary symptoms collectively lead to severe yield and quality losses.",
Sheath Rot,Symptoms,How do sheath rot symptoms look under bright sunlight?,"The provided search results do not explicitly detail how sheath rot symptoms look specifically under bright sunlight. However, we can infer some general effects based on the disease's characteristics and environmental influences. The lesions on the uppermost leaf sheaths are described as having brown margins and gray centers, or being grayish-brown throughout. Under bright sunlight, these colors might appear more vivid or distinct due to the intense illumination. However, bright sunlight generally contributes to faster drying of leaf surfaces. Since high humidity and prolonged leaf wetness are favorable conditions for the growth and visibility of the whitish powdery fungal growth associated with sheath rot, periods of intense, dry sunlight might make this fungal growth less pronounced or cause it to dry out, potentially making it less visible. The necrotic and discolored areas of the sheath, and any visible grain discoloration, would likely remain observable, but the fungal mycelium might be less prominent compared to humid, overcast conditions. Therefore, while bright sunlight doesn't fundamentally change the lesion's morphology, it could affect the overall visual prominence of the fungal growth and the general appearance of moisture-related symptoms.",
Sheath Rot,Symptoms,Is sheath rot easily confused with sheath blight in early stages?,"Yes, sheath rot lesions can sometimes be confused with sheath blight lesions, especially in their early stages, due to both affecting the leaf sheaths. However, there are key differences that help distinguish them. Sheath rot primarily infects the uppermost leaf sheaths enclosing the young panicles, with lesions described as oblong or irregular spots having dark reddish-brown margins and gray centers. A critical distinguishing feature of sheath rot is the whitish powdery fungal growth found inside the affected sheaths and the interference with panicle emergence. In contrast, sheath blight, caused by Rhizoctonia solani, typically begins with oval or ellipsoidal greenish-gray lesions on the leaf sheath, usually just above the soil or water level, and spreads upwards. Sheath blight lesions later become grayish-white with brown margins and often have a characteristic 'snake-skin' pattern. Importantly, sheath blight usually does not interfere with panicle exsertion (emergence) and produces sclerotia (small seed-like fungal structures) on the plant surface, not the powdery fungal growth inside the sheath seen in sheath rot. These differences in lesion location, fungal signs, and impact on panicle emergence are crucial for differentiation.",
Sheath Rot,Symptoms,What changes occur in the sheath after infection?,"After infection, the uppermost leaf sheath undergoes several significant pathological changes in sheath rot disease. Initially, the sheath develops characteristic oblong or irregular spots that are discolored, typically featuring dark reddish-brown margins and gray or light brown centers, or appearing grayish-brown throughout. These lesions progressively enlarge and often coalesce, spreading to cover a major portion, or even the entirety, of the leaf sheath. As the disease advances, the infected sheath tissue begins to rot, becoming soft and discolored (red-brown to dark brown). A hallmark change is the appearance of an abundant whitish powdery fungal growth (mycelium), which is particularly visible inside the affected sheath. This rotting and physical deterioration of the sheath then directly affects the developing panicle it encloses, leading to its entrapment, partial emergence, or complete failure to emerge, and subsequent damage to the grains. These changes collectively compromise the structural integrity and physiological function of the sheath, leading to severe consequences for the rice plant's reproductive output.",
Sheath Rot,Symptoms,Can sheath rot lead to reduced panicle exertion?,"Yes, sheath rot frequently leads to reduced panicle exertion, which is a hallmark symptom and a major cause of yield loss. The disease specifically targets the uppermost leaf sheaths that enclose the young panicles, primarily during the booting stage. As the pathogen (Sarocladium oryzae or other associated fungi/bacteria) causes lesions and extensive rotting of this sheath tissue, it physically restricts the panicle's ability to push through and emerge fully. In severe infections, the panicle may be entirely trapped within the rotting sheath, failing to exert at all (complete non-emergence). In less severe cases, only a portion of the panicle may emerge (partial emergence). This reduced or aborted panicle exertion directly impacts grain development, leading to sterility, chaffiness, and discoloration of the grains, as nutrient and water flow are severely impaired. Rice cultivars with poor panicle exsertion are noted to be more susceptible, highlighting the direct link between sheath integrity and panicle emergence.",
Sheath Rot,Symptoms,How severe can sheath rot symptoms become under high humidity?,"Under high humidity, sheath rot symptoms can become significantly severe, amplifying disease progression and its detrimental impacts on the rice crop. High relative humidity, especially between 65% to 85% RH, is a key environmental condition that favors the development and spread of the causal pathogens. Under such conditions: 1. Increased Lesion Development: Lesions on the uppermost leaf sheaths enlarge and coalesce more rapidly and extensively, covering larger areas of the sheath, leading to more pronounced discoloration and rotting. 2. Profuse Fungal Growth: The characteristic whitish powdery fungal growth (mycelium) inside and on the outer surface of infected sheaths becomes much more abundant and visible, indicating active fungal sporulation and colonization. 3. Exacerbated Panicle Damage: The rotting of the panicle and its entrapment within the sheath become more severe, increasing the incidence of un-emerged or partially emerged panicles, and consequently, greater grain sterility, chaffiness, and discoloration. High humidity provides the moist environment necessary for the pathogen to thrive, sporulate, and aggressively infect tissues, leading to a much higher severity of all sheath rot symptoms and a greater threat to yield.",
Sheath Rot,Symptoms,What does the diseased sheath look like after drying?,"After drying, a diseased sheath affected by sheath rot will primarily appear as a dry, brownish, or straw-yellow necrotic lesion. While early, active lesions might show distinct brown margins and gray centers, and perhaps a whitish powdery fungal growth when fresh and humid, these features become less prominent or disappear upon drying. The rotting tissue will have desiccated, leaving behind a shriveled, brittle, and discolored remnant of the sheath. Older, dry lesions are described as having less or no powdery fungal growth. The overall appearance will be one of severe tissue death and desiccation, often resembling dried-up, dead plant material. If the panicle was trapped and rotted inside, it too would be dry, shriveled, and discolored (red-brown to dark brown). This dried appearance reflects the complete necrosis and loss of function of the infected sheath, and any remaining powdery growth would likely be very fine or less distinct.",
Sheath Rot,Symptoms,Are sheath rot lesions confined to a specific height on the plant?,"Yes, sheath rot lesions are primarily confined to the uppermost leaf sheaths on the rice plant, specifically those enclosing the young panicles during the booting stage. This characteristic localization distinguishes it from other diseases. While the pathogen can theoretically infect the plant at any growth stage, the most visible and damaging symptoms occur at a specific height—the flag leaf sheath and immediately adjacent sheaths. For instance, sheath rot occurs higher on the plant than sheath blight normally does. Therefore, farmers can typically expect to find the characteristic oblong or irregular spots, discoloration, and rotting at the upper portions of the culm, particularly around the reproductive structures. This specific height localization is a crucial diagnostic feature and underscores the disease's direct threat to panicle development and grain yield, rather than a more generalized infection across all sheaths or leaves.",
Sheath Rot,Symptoms,How does temperature influence symptom development?,"Temperature significantly influences the development of sheath rot symptoms, with the causal fungus, Sarocladium oryzae, favoring specific temperature ranges. The disease is known to develop under temperatures around 20-28°C (68-82°F), particularly when combined with high relative humidity. This moderate temperature range provides optimal conditions for the pathogen's growth, sporulation, and its ability to infect rice plants and produce the phytotoxins that cause necrosis. Symptoms like lesion formation, discoloration, and rotting of the uppermost leaf sheaths, as well as the subsequent impact on panicle emergence and grain quality, are exacerbated when temperatures fall within this favorable range. Temperatures outside this optimal window, particularly very low or excessively high temperatures, might inhibit fungal activity and slow down symptom development, though this is not explicitly detailed. Therefore, the prevalence and severity of sheath rot symptoms are closely tied to the ambient temperature during the booting and heading stages of the rice crop, making temperature a critical environmental factor influencing disease manifestation.",
Sheath Rot,Symptoms,Are sheath rot lesions soft or hard when touched?,"Sheath rot lesions typically cause the infected sheath tissue to become soft and rotten when touched, especially in the active stages of the disease. The disease is characterized by the ""rotting and discoloration of the sheath."" As the lesions enlarge and coalesce, the fungal pathogens (like Sarocladium oryzae) produce phytotoxins that induce necrosis, breaking down plant cells. This breakdown of tissue leads to a softening and eventual disintegration of the sheath material. The presence of abundant whitish powdery fungal growth inside the affected sheaths further indicates active decomposition. Only after the diseased sheath has dried out completely would it become hard and brittle, but during the active infection phase, the rotting process renders the tissue soft. Therefore, a soft, decaying texture is a more characteristic tactile symptom of an active sheath rot infection, distinct from a dry, hardened lesion that might appear after the disease has run its course.",
