Diseases name,Category,Question,Answer
Sheath blight,Symptoms,"Can the disease cause a dark, water-soaked appearance on the sheaths before the defined lesions form?",Yes  sheath blight can initially cause a dark  water-soaked appearance on the sheaths before the defined oval or elliptical lesions fully form. These early symptoms are often subtle  appearing as a slightly darker  moist discoloration on the lower sheaths near the water line. This water-soaked appearance indicates the initial infection and tissue degradation by the fungus before the characteristic lesion structure becomes evident.
Sheath blight,Symptoms,What is the significance of seeing multiple lesions stacked one above the other on the same sheath?,"Seeing multiple lesions stacked one above the other on the same sheath indicates aggressive and continuous upward spread of the sheath blight fungus. This ""stacking"" effect  often resembling a ""snake skin"" pattern  suggests a high inoculum pressure and favorable environmental conditions (like high humidity) that facilitate rapid vertical progression of the disease. It signifies a severe infection that is significantly compromising the plant's health and likely leading to substantial yield loss."
Sheath blight,Symptoms,How can I visually estimate the percentage of infected tillers in my field during scouting?,To visually estimate the percentage of infected tillers during scouting  randomly select several spots across your field. At each spot  count the total number of tillers and then count how many of those tillers show any sheath blight symptoms (lesions or sclerotia). Divide the number of infected tillers by the total and multiply by 100 to get a percentage. Repeat this in multiple locations to get a representative average for the field.
Sheath blight,Symptoms,Does the plant try to produce any defense structures visible around the lesions?,"Rice plants  like many others  have defense mechanisms against pathogens  but these are rarely visibly distinct ""structures"" around sheath blight lesions to the naked eye. At a microscopic level  plants may produce biochemical compounds or strengthen cell walls. Visibly  some resistant varieties might show a darker  more defined border around smaller lesions  indicating a hypersensitive response or restricted fungal growth  but this isn't a ""structure."""
Sheath blight,Symptoms,What is the appearance of the sheath blight fungus after it has been submerged in water?,The sheath blight fungus  specifically its sclerotia  often float on the water surface after being submerged. The mycelium  if present on submerged sheaths  might appear somewhat translucent or discolored. However  the sclerotia  being dense survival structures  retain their small  brown  seed-like appearance  which is why they are easily spread by irrigation water. They remain viable even after prolonged submersion.
Sheath blight,Symptoms,Can the disease cause lesions on the leaf tip as a secondary symptom?,It is highly uncommon for sheath blight to cause lesions specifically on the leaf tip as a *secondary* symptom. While severe sheath blight on the sheaths can lead to the overall desiccation and browning of the entire leaf blade  including the tip  this is a generalized symptom of plant stress and death  not a distinct lesion formation. Sheath blight lesions almost exclusively originate on the sheaths and extend upwards from there.
Sheath blight,Causes/Risk Factor,What is the scientific name of the main fungus that causes rice sheath blight?,The scientific name of the main fungus that causes rice sheath blight is *Rhizoctonia solani*. This fungal pathogen is a widespread and destructive disease-causing agent in rice  known for its ability to survive in the soil and infect the lower parts of the rice plant.
Sheath blight,Causes/Risk Factor,What is the role of the sclerotia (seed-like bodies) in the survival and spread of the disease?,Sclerotia are crucial for the survival and spread of sheath blight. These compact  seed-like structures are the primary overwintering and oversummering stage of *Rhizoctonia solani*  allowing it to survive harsh conditions in soil and crop residue for several years. They also serve as the main source of primary inoculum  floating on irrigation water to initiate new infections in subsequent rice crops  thus ensuring disease recurrence.
Sheath blight,Causes/Risk Factor,What are the optimal temperature and humidity conditions for the sheath blight fungus to thrive?,The sheath blight fungus thrives in warm and humid conditions. Optimal temperatures for its growth and infection range between 28? and 32?. High relative humidity  ideally above 95%  especially within the dense rice canopy  is also crucial. These conditions promote rapid mycelial growth  lesion expansion  and increased disease severity.
Sheath blight,Causes/Risk Factor,How does the practice of dense planting (high plant population) increase the risk of an outbreak?,Dense planting significantly increases the risk of sheath blight by creating a microclimate highly favorable for the fungus. High plant populations lead to a closed canopy  which reduces air circulation and traps humidity  promoting fungal growth. Increased plant-to-plant contact also facilitates the rapid spread of the fungus from one tiller to another  accelerating the epidemic.
Sheath blight,Causes/Risk Factor,Does excessive nitrogen fertilizer use increase the severity and spread of sheath blight?,Yes  excessive nitrogen fertilizer use significantly increases the severity and spread of sheath blight. High nitrogen levels promote lush  succulent vegetative growth  leading to a denser canopy and higher humidity within the crop. This creates an ideal environment for *Rhizoctonia solani* to thrive  grow rapidly  and spread from plant to plant  exacerbating disease development and yield loss.
Sheath blight,Causes/Risk Factor,How long can the sclerotia survive in the soil or on crop residue during the off-season?,Sclerotia of *Rhizoctonia solani* are highly resilient and can survive for extended periods. In the soil or on crop residue during the off-season  they can remain viable for several years  typically 2 to 3 years  but sometimes even longer under favorable conditions. This longevity makes inoculum management challenging and highlights the importance of effective sanitation practices between crops.
Sheath blight,Causes/Risk Factor,What is the primary source of initial inoculum for the new rice crop?,The primary source of initial inoculum for a new rice crop is the sclerotia of *Rhizoctonia solani* surviving in the soil and on infected crop residue from previous seasons. These sclerotia float on irrigation water  come into contact with the base of newly planted rice seedlings  germinate  and initiate the primary infections  leading to the onset of sheath blight.
Sheath blight,Causes/Risk Factor,How do irrigation water and flooding contribute to the spread of the fungus?,Irrigation water and flooding are major contributors to the spread of the sheath blight fungus. Sclerotia  the survival structures of *Rhizoctonia solani*  readily float on the water surface. As water moves through the field  these sclerotia are dispersed  coming into contact with healthy rice plants and initiating new infections. Flooding also maintains the high humidity essential for fungal growth and spread.
Sheath blight,Causes/Risk Factor,"Why are high-yielding, modern rice varieties often more susceptible to sheath blight?",High-yielding  modern rice varieties are often more susceptible to sheath blight due to several factors. They typically exhibit profuse tillering and a dense  closed canopy structure  which creates a highly humid microclimate ideal for fungal growth. Additionally  many of these varieties are bred for yield  and inherent resistance to diseases like sheath blight may have been inadvertently reduced or not prioritized during selection.
Sheath blight,Causes/Risk Factor,Does continuous rice cropping (monoculture) increase the inoculum pressure over time?,Yes  continuous rice cropping (monoculture) significantly increases the inoculum pressure of sheath blight over time. Without rotation to non-host crops  the sclerotia of *Rhizoctonia solani* accumulate in the soil and on crop residue season after season. This continuous presence of the pathogen ensures a high level of primary inoculum  leading to earlier and more severe disease outbreaks in subsequent rice crops.
Sheath blight,Causes/Risk Factor,How does high humidity within the rice canopy act as a risk factor?,High humidity within the rice canopy is a crucial risk factor for sheath blight. It provides the moist environment necessary for the germination of sclerotia and the rapid growth and spread of the *Rhizoctonia solani* mycelium. Reduced air circulation in a dense canopy traps moisture  prolonging leaf wetness duration  which is highly conducive for infection and lesion development  leading to exacerbated disease severity.
Sheath blight,Causes/Risk Factor,What is the role of the water surface in the field as a highway for the fungus?,"The water surface in the rice field acts as a crucial ""highway"" for the sheath blight fungus. Sclerotia  the primary inoculum  readily float on irrigation water. They are easily carried by water currents across the field  coming into contact with the base of healthy rice plants and initiating new infections. This waterborne dispersal allows for rapid and widespread distribution of the pathogen  especially in flooded rice systems."
Sheath blight,Causes/Risk Factor,Can the fungus be spread by wind or is it mainly waterborne?,The sheath blight fungus  *Rhizoctonia solani*  is primarily waterborne. Its sclerotia float on irrigation water and are dispersed this way. While dry sclerotia might be moved short distances by strong winds if they become airborne with soil particles  wind is not considered a significant or primary mode of spread for this pathogen  unlike many other fungal spores. Its main dispersal mechanism relies on water.
Sheath blight,Causes/Risk Factor,What is the significance of the N:K ratio in fertilizer for influencing disease severity?,The N:K (Nitrogen to Potassium) ratio in fertilizer is highly significant for influencing sheath blight severity. An imbalanced ratio  particularly excessive nitrogen relative to potassium  increases susceptibility. High N promotes lush  succulent growth  while insufficient K weakens cell walls  making plants more vulnerable. A balanced N:K ratio helps strengthen plant tissues and enhances their natural resistance  thereby reducing disease incidence and severity.
Sheath blight,Causes/Risk Factor,Are there any specific soil types or soil pH ranges that favor the disease?,Sheath blight is generally widespread and can occur in various soil types. However  soils with good water retention that contribute to high field humidity  such as heavy clay soils  may indirectly favor the disease. In terms of pH  *Rhizoctonia solani* tends to thrive in slightly acidic to neutral soil conditions  typically ranging from pH 5.0 to 7.0  which is common for rice cultivation.
Sheath blight,Causes/Risk Factor,"Do any specific insect pests (like stem borers) create entry points or stress the plant, increasing risk?",While sheath blight primarily infects intact plant tissue  insect pests like stem borers can indirectly increase disease risk. Stem borers create physical wounds as they tunnel into the culm  which could potentially serve as entry points for secondary infections or stress the plant  making it more vulnerable to pathogen attack  including *Rhizoctonia solani*. Stressed plants generally have reduced defense capabilities.
Sheath blight,Causes/Risk Factor,What is the effect of deep floodwater versus shallow floodwater on the initial infection rate?,Deep floodwater generally increases the initial infection rate of sheath blight compared to shallow floodwater. Deep water elevates the water line  allowing floating sclerotia to reach higher up on the rice plants  infecting more leaf sheaths earlier. It also helps maintain a higher and more consistent humidity level around the plant bases  further promoting primary infection and rapid disease development.
Sheath blight,Causes/Risk Factor,What is the range of pH that allows the sclerotia to germinate most effectively?,Sclerotia of *Rhizoctonia solani* (sheath blight fungus) typically germinate most effectively in a relatively broad pH range  from slightly acidic to neutral conditions. This usually falls within pH 5.0 to 7.5. These conditions are commonly found in most rice-growing environments  allowing the pathogen to thrive and initiate infections.
Sheath blight,Causes/Risk Factor,Can alternative host plants (like certain weeds) maintain the sheath blight fungus in the field?,Yes  alternative host plants  particularly certain weeds commonly found in rice fields  can maintain the sheath blight fungus (*Rhizoctonia solani*) in the field. Many grass weeds and some broadleaf weeds can be infected by *R. solani*  allowing the pathogen to survive and produce sclerotia even when rice is not present. This acts as a continuous source of inoculum for subsequent rice crops.
Sheath blight,Causes/Risk Factor,How does excessive cloud cover or shading contribute to the disease risk?,Excessive cloud cover or shading contributes to sheath blight risk by increasing humidity within the rice canopy and extending the duration of leaf wetness. Reduced sunlight leads to cooler temperatures and lower evaporation rates  creating a more humid microclimate favorable for fungal growth and infection. This prolonged moist environment accelerates disease development and spread.
Sheath blight,Causes/Risk Factor,"Is the fungus considered to be soilborne, seedborne, or air-borne primarily?",The sheath blight fungus  *Rhizoctonia solani*  is primarily considered a **soilborne** pathogen. Its survival structures  sclerotia  reside in the soil and on crop residue. While it can be disseminated via irrigation water (making it waterborne)  it is not typically considered seedborne  and air-borne spread is not a primary mechanism.
Sheath blight,Causes/Risk Factor,What is the name of the chemical group to which the sheath blight pathogen belongs?,The sheath blight pathogen  *Rhizoctonia solani*  belongs to the fungal chemical group known as **Basidiomycetes**. Specifically  it is an asexual (anamorphic) stage of *Thanatephorus cucumeris*  which is a member of the order Cantharellales within the Basidiomycota. This classification is important for understanding its biology and developing control strategies.
Sheath blight,Causes/Risk Factor,How does the timing of rain events in the season affect the severity of the outbreak?,The timing of rain events significantly affects sheath blight severity. Frequent or prolonged rain  especially during the tillering to heading stages  provides the high humidity and leaf wetness essential for sclerotia germination  mycelial growth  and disease spread. Rain can also help disperse floating sclerotia. Early and continuous rainfall patterns can lead to earlier onset and more severe outbreaks.
Sheath blight,Causes/Risk Factor,Are there specific crop residue management practices that increase the risk of the fungus surviving?,Yes  certain crop residue management practices increase the risk of the sheath blight fungus surviving. Leaving infected rice stubble and straw on the soil surface after harvest allows sclerotia to overwinter and serve as a primary inoculum source. Minimum tillage or no-tillage systems  where residues are not incorporated  also favor sclerotial survival and subsequent disease outbreaks.
Sheath blight,Causes/Risk Factor,Does late planting in the season increase the risk of sheath blight?,Late planting in the season can increase the risk of sheath blight if it coincides with environmental conditions favorable for the disease  such as warm temperatures and high humidity  particularly during the vulnerable tillering and booting stages. Also  if there's a buildup of inoculum from early-planted adjacent fields  late planting can expose the crop to higher pathogen pressure.
Sheath blight,Causes/Risk Factor,"How does the plant's own physiological stage (e.g., maturity) affect its susceptibility?",The rice plant's physiological stage significantly affects its susceptibility to sheath blight. Plants are generally more susceptible during the tillering to heading stages. As the canopy closes and becomes denser  humidity increases  creating an ideal microclimate for the fungus. While younger seedlings are also vulnerable  the rapid vegetative growth phases are when the disease typically escalates and causes the most significant damage.
Sheath blight,Causes/Risk Factor,Is there any evidence that high temperatures alone can kill the sclerotia in the soil?,Yes  high temperatures  particularly prolonged exposure to very high temperatures  can reduce the viability or kill sclerotia in the soil. Soil solarization  a practice involving covering moist soil with clear plastic to trap solar heat  effectively raises soil temperatures to levels (e.g.  >45-50? for several weeks) that can significantly reduce sclerotial populations  thus helping to manage sheath blight inoculum.
