Disease Name,Category,Question,Answer
Rice Blast,Symptoms,"Can rice blast disease be confused with other rice diseases, and if so, how can they be differentiated?","Yes, rice blast lesions can sometimes be confused with symptoms of other rice diseases, particularly brown spot disease (caused by Bipolaris oryzae). Differentiating between them requires careful observation of lesion characteristics. Leaf blast lesions are typically elongated, spindle or diamond-shaped, with pointed ends, a grayish or whitish center, and distinct brown to reddish-brown borders. In contrast, brown spot lesions tend to be more round or oval, often uniformly brown or dark brown, and are usually surrounded by a distinct yellow halo. Additionally, blast lesions on the leaves often coalesce to form larger, irregular patches, leading to the overall ""burnt"" appearance of severe leaf blast. Brown spot lesions, while numerous, usually remain discrete and do not merge as readily. Understanding these subtle morphological differences is critical for accurate diagnosis and implementing the correct management strategies, as misidentification can lead to ineffective treatments."
Rice Blast,Symptoms,What are the general indications of severe rice blast infection on an entire crop?,"In cases of severe rice blast infection, the entire crop can present a dramatic and devastating appearance, often leading to the common name ""blast"" because it looks as if the plants have been scorched or burnt by fire. This widespread damage is typically a culmination of extensive leaf blast, severe neck blast, and nodal infections throughout the field. Foliage may exhibit numerous large, coalescing lesions that cause entire leaves to wither, turn brown, and die rapidly. Panicles, instead of being laden with healthy grains, will be extensively damaged by neck rot, appearing white, empty, and drooping due to the weakened neck node. Many panicles may not even emerge properly or will break off prematurely. The collective effect is a widespread browning and wilting of the rice plants, leading to severe lodging of the crop after ear emergence and a drastic reduction in expected yield."
Rice Blast,Symptoms,"How do symptoms of blast vary at different growth stages, and why is this important for farmers?","Rice blast can manifest differently depending on the growth stage of the rice plant, and recognizing these stage-specific symptoms is crucial for farmers. During the seedling to tillering stages (early vegetative stages, V1-V4), the disease primarily affects leaves, presenting as leaf blast, which can be severe enough to kill young plants entirely or cause significant leaf area reduction. As plants mature, especially after the V5 stage, their susceptibility to leaf blast may decrease due to adult plant resistance. However, the fungus can then attack other parts. At later growth stages, particularly from panicle initiation through heading and flowering, the most damaging symptoms are neck blast and nodal blast, directly affecting grain development and yield. Early recognition of leaf blast can serve as a warning sign for potential future neck blast. Understanding these stage-specific variations allows farmers to target their monitoring efforts and apply preventative or curative measures at the most effective times, protecting critical yield-forming structures."
Rice Blast,Symptoms,"What are the ""white panicle"" symptoms, and how are they caused by rice blast?","""White panicles"" are a striking and alarming symptom of severe rice blast disease, particularly when neck blast is involved. This symptom refers to panicles that remain upright, turn a bleached white color, and contain completely unfilled or blank kernels. The underlying cause is the infection of the panicle neck by the Magnaporthe oryzae fungus during the early reproductive stages, often before the milk stage of grain development. The girdling lesion on the neck node effectively cuts off the supply of water and nutrients from the rest of the plant to the developing grains. Consequently, the grains are unable to fill, dry out prematurely, and the entire panicle takes on a distinct white, sterile appearance. This results in a complete loss of yield from the affected panicles, differentiating it from symptoms like poor grain filling due to later infections, which might only partially damage the kernels."
Rice Blast,Symptoms,Can rice blast lead to visible symptoms on the inter-nodes or culm (stem) of the rice plant?,"Yes, rice blast can cause visible symptoms on the inter-nodes (the sections between the nodes) and the culm (main stem) of the rice plant, although nodal infection is more commonly cited. When the fungus infects the culm or inter-nodes, particularly near the base of the plant, it can lead to internal damage that compromises the structural integrity of the stem. While specific diamond-shaped lesions are more typical on leaves and nodes, a severe infection at the base or within the inter-nodes can lead to a condition where the panicle prematurely dies and remains erect, mimicking symptoms caused by other pests like the yellow stem borer or severe water stress, often referred to as ""white panicles"" originating from the base rather than the neck directly. Nodal blast, where the nodes turn black and the culm breaks, is a more common and direct manifestation of stem-related blast symptoms."
Rice Blast,Symptoms,Is there a difference in how symptoms appear between upland and lowland rice fields affected by blast?,"While the general types of symptoms (leaf lesions, neck blast, etc.) are similar in both upland and lowland rice, their severity and prevalence can differ due to environmental conditions. Upland rice, grown without continuous flooding, experiences periods of low soil moisture and often greater day-night temperature differences, leading to more dew formation. These conditions are highly favorable for blast development and spore dispersal, meaning leaf blast can often be more severe and widespread in upland systems, potentially leading to rapid blight and seedling death. Lowland rice, with its continuous flood irrigation, tends to have a more stable microclimate around the canopy. However, when flood management is poor (e.g., extended drain periods or shallow water) or when susceptible varieties are planted, blast can still become severe, especially during the reproductive stages, leading to significant neck blast. The key difference lies in the environmental drivers that promote disease establishment and severity in these distinct cultivation systems."
Rice Blast,Symptoms,Do rice blast symptoms appear differently in dry and wet conditions?,"Yes, rice blast symptoms can appear differently or their development can be significantly influenced by dry and wet conditions. In prolonged wet conditions, characterized by high humidity, frequent rain, or extended dew periods, blast lesions develop rapidly and become more severe. The classic spindle-shaped lesions with grayish centers and dark borders are prominent, and on susceptible varieties, these lesions can merge to cover large areas of the leaf, leading to widespread blighting and even death of leaves or entire young plants. The fungus thrives and sporulates abundantly under moist conditions. Conversely, in dry conditions or when humidity is low, the development of blast lesions is significantly retarded. Lesions may remain small, appearing as pin-prick spots, or take on a more uniform brown, dried-out appearance without the typical grayish center, a phenomenon sometimes referred to as 'resistant lesions' or 'hypersensitive reaction'. The lesions might not sporulate effectively, and the spread of the disease slows down. While the pathogen needs moisture for infection, continuous dry periods can restrict its symptom expression and severity, though latent infections might persist, waiting for favorable wet conditions to reactivate."
Rice Blast,Symptoms,How can rice blast be distinguished from bacterial leaf blight?,"Rice blast and bacterial leaf blight (BLB) can be distinguished by observing their distinct symptom patterns. Rice blast causes characteristic spindle-shaped lesions with a grayish center and reddish-brown margins, appearing as discrete spots on the leaves. These lesions start as small dots and expand symmetrically. In contrast, bacterial leaf blight, caused by _Xanthomonas oryzae_ pv. _oryzae_, typically manifests as water-soaked streaks that begin at the leaf margins, often at injury points, and extend downwards along the veins, forming long, yellowish or whitish lesions with wavy margins. As BLB progresses, the affected leaf areas become yellowish, then grayish, and eventually dry up, turning straw-colored. A key differentiator is the creamy bacterial ooze"" that can be seen on bacterial blight lesions in humid conditions"
Rice Blast,Symptoms,What happens to the panicle when infected by neck blast?,"When a rice panicle is infected by neck blast, severe and devastating consequences occur that directly impact grain development and yield. The fungus attacks the neck node, which is the uppermost node just below the panicle, responsible for supporting the developing grains. The primary symptom is a dark brown to black discoloration of this neck region, which often causes it to rot. This rotting compromises the water and nutrient supply to the developing grains within the panicle. As a result, the grains either fail to fill properly, remaining empty and chalky (partially filled). In severe cases, especially if infection occurs early in panicle development, the entire panicle can be killed before any grain filling occurs, leading to chaffy panicles"" where no viable grains are produced. Another common outcome is the ""rotten neck"" or ""panicle break"
Rice Blast,Symptoms,Are circular or spindle-shaped lesions typical for rice blast?,"Spindle-shaped lesions are typical for rice blast. The most recognizable symptom of rice blast on leaves is the appearance of distinct, diamond-shaped or spindle-shaped lesions. These lesions are elliptical and pointed at both ends, resembling an eye. While initially they might appear as small, water-soaked, pinpoint dots, they quickly expand and elongate into this characteristic spindle morphology. The center of these mature lesions typically turns grayish-white or ash-gray due to sporulation of the fungus, while the margins are distinctly darker, usually reddish-brown or dark brown. This specific shape and color pattern are key diagnostic features. Circular lesions are not generally characteristic of rice blast; rather, they might be indicative of other fungal or bacterial leaf spots that affect rice, which are distinguished by their rounder form. Therefore, farmers and diagnosticians primarily look for the unique spindle or diamond shape to identify rice blast infection in the field."
Rice Blast,Symptoms,How does blast infection affect grain filling?,"Blast infection significantly impairs grain filling, particularly when the neck of the panicle is affected by neck blast. When the fungus attacks the neck node, the main vascular connection between the plant and the developing panicle is disrupted. This critical infection point prevents the efficient translocation of water, nutrients, and photosynthetic products (sugars) from the leaves to the grains. As a direct consequence, the developing grains are starved of essential resources required for their proper growth and maturation. Grains on infected panicles often remain partially filled or completely empty, leading to blank"" or ""chaffy"" grains. These unfilled grains are lightweight"
Rice Blast,Symptoms,What are the early signs of rice blast on young rice plants?,"On young rice plants, the early signs of rice blast typically manifest as small, diamond-shaped lesions or spots on the leaves. These initial lesions might be pinpoint in size and appear water-soaked before developing into characteristic shapes. As the disease progresses, these spots enlarge and take on a spindle-like or elliptical form, often with a grayish center and reddish-brown margins. The center of these lesions eventually turns necrotic (dead tissue), sometimes giving them a blighted appearance. In severe cases, particularly on susceptible varieties, these lesions can coalesce, leading to extensive leaf damage and even death of the young plant. The presence of these lesions on the leaves, especially new leaves, serves as a crucial early indicator for farmers to begin monitoring and implementing control measures promptly. These initial symptoms are key to identifying an infection before it spreads rapidly through the field."
Rice Blast,Symptoms,How can a farmer identify leaf blast visually in the field?,"Farmers can visually identify leaf blast in the field by looking for distinctive lesions on the rice leaves. The most characteristic symptom is the presence of spindle-shaped spots that typically have a gray or whitish center and a dark, often reddish-brown, margin. These lesions can vary in size and shape depending on the rice variety, plant age, and environmental conditions, but the consistent diamond or spindle shape is a key identifier. On very susceptible varieties, the lesions may coalesce, turning large portions of the leaf brown or grayish and giving a blasted"" appearance"
Rice Blast,Symptoms,What color spots indicate rice blast infection on leaves?,"Rice blast infection on leaves is primarily indicated by spots that exhibit a range of colors throughout their development. Initially, these spots may appear as small, water-soaked, whitish, or gray lesions. As the disease matures, the most typical coloration of a blast lesion is a grayish-white center surrounded by a distinct dark-brown or reddish-brown margin. This classic spindle or diamond shape with a contrasting border is a strong indicator of blast. However, on highly susceptible rice varieties or under very favorable environmental conditions, the lesions can be larger and more uniformly gray, often merging to create extensive blighted areas that appear as scorched patches on the leaves. In some instances, older lesions might develop a purple or bluish tint in their margins. The combination of the grayish center and dark, usually reddish-brown, border is the most reliable color characteristic for diagnosing rice leaf blast visually."
Rice Blast,Symptoms,How does neck blast differ in appearance from leaf blast?,"Neck blast and leaf blast, while caused by the same fungus, exhibit distinct appearances due to the tissues they infect and their impact on plant development. Leaf blast manifests as spindle-shaped lesions on the rice leaves, characterized by a grayish center and dark reddish-brown margins. In contrast, neck blast specifically targets the node just below the panicle, the stem supporting the rice grain head. The primary symptom of neck blast is a dark brown to black discoloration and rotting of this neck node. This infection often causes the panicle to break over or remain upright and unfilled, a condition known as blasted neck"" or ""rotten neck"". Unlike the relatively flat leaf lesions"
Rice Blast,Symptoms,At what stage do lesions start to expand rapidly on rice leaves?,"Rice blast lesions typically begin to expand rapidly on rice leaves during periods of prolonged leaf wetness, high humidity, and moderate temperatures, particularly when the host plant is in a susceptible growth stage, such as tillering or heading. The fungal spores require a period of moisture to germinate and penetrate the leaf tissue. Once infection is established, a lesion can develop within 3-4 days under ideal conditions. The rapid expansion phase usually occurs a few days after initial infection when the fungus has established itself and starts to reproduce spores. Young, succulent leaves are often more susceptible to rapid lesion development than older, tougher leaves. The speed of lesion expansion is also influenced by the susceptibility of the rice cultivar and the aggressiveness of the specific _Magnaporthe oryzae_ strain. An environment with sustained leaf wetness, either from dew, rain, or irrigation, coupled with temperatures between 25-28°C (77-82°F), significantly accelerates the enlargement and sporulation of blast lesions."
Rice Blast,Symptoms,Do rice blast symptoms appear differently in dry and wet conditions?,"Yes, rice blast symptoms can appear differently or their development can be significantly influenced by dry and wet conditions. In prolonged wet conditions, characterized by high humidity, frequent rain, or extended dew periods, blast lesions develop rapidly and become more severe. The classic spindle-shaped lesions with grayish centers and dark borders are prominent, and on susceptible varieties, these lesions can merge to cover large areas of the leaf, leading to widespread blighting and even death of leaves or entire young plants. The fungus thrives and sporulates abundantly under moist conditions. Conversely, in dry conditions or when humidity is low, the development of blast lesions is significantly retarded. Lesions may remain small, appearing as pin-prick spots, or take on a more uniform brown, dried-out appearance without the typical grayish center, a phenomenon sometimes referred to as 'resistant lesions' or 'hypersensitive reaction'. The lesions might not sporulate effectively, and the spread of the disease slows down. While the pathogen needs moisture for infection, continuous dry periods can restrict its symptom expression and severity, though latent infections might persist, waiting for favorable wet conditions to reactivate."
Rice Blast,Symptoms,How can rice blast be distinguished from bacterial leaf blight?,"Rice blast and bacterial leaf blight (BLB) can be distinguished by observing their distinct symptom patterns. Rice blast causes characteristic spindle-shaped lesions with a grayish center and reddish-brown margins, appearing as discrete spots on the leaves. These lesions start as small dots and expand symmetrically. In contrast, bacterial leaf blight, caused by _Xanthomonas oryzae_ pv. _oryzae_, typically manifests as water-soaked streaks that begin at the leaf margins, often at injury points, and extend downwards along the veins, forming long, yellowish or whitish lesions with wavy margins. As BLB progresses, the affected leaf areas become yellowish, then grayish, and eventually dry up, turning straw-colored. A key differentiator is the creamy bacterial ooze"" that can be seen on bacterial blight lesions in humid conditions"
Rice Blast,Symptoms,What happens to the panicle when infected by neck blast?,"When a rice panicle is infected by neck blast, severe and devastating consequences occur that directly impact grain development and yield. The fungus attacks the neck node, which is the uppermost node just below the panicle, responsible for supporting the developing grains. The primary symptom is a dark brown to black discoloration of this neck region, which often causes it to rot. This rotting compromises the water and nutrient supply to the developing grains within the panicle. As a result, the grains either fail to fill properly, remaining empty and chalky (partially filled). In severe cases, especially if infection occurs early in panicle development, the entire panicle can be killed before any grain filling occurs, leading to chaffy panicles"" where no viable grains are produced. Another common outcome is the ""rotten neck"" or ""panicle break"
Rice Blast,Symptoms,Are circular or spindle-shaped lesions typical for rice blast?,"Spindle-shaped lesions are typical for rice blast. The most recognizable symptom of rice blast on leaves is the appearance of distinct, diamond-shaped or spindle-shaped lesions. These lesions are elliptical and pointed at both ends, resembling an eye. While initially they might appear as small, water-soaked, pinpoint dots, they quickly expand and elongate into this characteristic spindle morphology. The center of these mature lesions typically turns grayish-white or ash-gray due to sporulation of the fungus, while the margins are distinctly darker, usually reddish-brown or dark brown. This specific shape and color pattern are key diagnostic features. Circular lesions are not generally characteristic of rice blast; rather, they might be indicative of other fungal or bacterial leaf spots that affect rice, which are distinguished by their rounder form. Therefore, farmers and diagnosticians primarily look for the unique spindle or diamond shape to identify rice blast infection in the field."
Rice Blast,Symptoms,How does blast infection affect grain filling?,"Blast infection significantly impairs grain filling, particularly when the neck of the panicle is affected by neck blast. When the fungus attacks the neck node, the main vascular connection between the plant and the developing panicle is disrupted. This critical infection point prevents the efficient translocation of water, nutrients, and photosynthetic products (sugars) from the leaves to the grains. As a direct consequence, the developing grains are starved of essential resources required for their proper growth and maturation. Grains on infected panicles often remain partially filled or completely empty, leading to blank"" or ""chaffy"" grains. These unfilled grains are lightweight"
Rice Blast,Symptoms,What are the early signs of rice blast on young rice plants?,"On young rice plants, the early signs of rice blast typically manifest as small, diamond-shaped lesions or spots on the leaves. These initial lesions might be pinpoint in size and appear water-soaked before developing into characteristic shapes. As the disease progresses, these spots enlarge and take on a spindle-like or elliptical form, often with a grayish center and reddish-brown margins. The center of these lesions eventually turns necrotic (dead tissue), sometimes giving them a blighted appearance. In severe cases, particularly on susceptible varieties, these lesions can coalesce, leading to extensive leaf damage and even death of the young plant. The presence of these lesions on the leaves, especially new leaves, serves as a crucial early indicator for farmers to begin monitoring and implementing control measures promptly. These initial symptoms are key to identifying an infection before it spreads rapidly through the field."
Rice Blast,Symptoms,How can a farmer identify leaf blast visually in the field?,"Farmers can visually identify leaf blast in the field by looking for distinctive lesions on the rice leaves. The most characteristic symptom is the presence of spindle-shaped spots that typically have a gray or whitish center and a dark, often reddish-brown, margin. These lesions can vary in size and shape depending on the rice variety, plant age, and environmental conditions, but the consistent diamond or spindle shape is a key identifier. On very susceptible varieties, the lesions may coalesce, turning large portions of the leaf brown or grayish and giving a blasted"" appearance"
Rice Blast,Symptoms,What color spots indicate rice blast infection on leaves?,"Rice blast infection on leaves is primarily indicated by spots that exhibit a range of colors throughout their development. Initially, these spots may appear as small, water-soaked, whitish, or gray lesions. As the disease matures, the most typical coloration of a blast lesion is a grayish-white center surrounded by a distinct dark-brown or reddish-brown margin. This classic spindle or diamond shape with a contrasting border is a strong indicator of blast. However, on highly susceptible rice varieties or under very favorable environmental conditions, the lesions can be larger and more uniformly gray, often merging to create extensive blighted areas that appear as scorched patches on the leaves. In some instances, older lesions might develop a purple or bluish tint in their margins. The combination of the grayish center and dark, usually reddish-brown, border is the most reliable color characteristic for diagnosing rice leaf blast visually."
Rice Blast,Symptoms,How does neck blast differ in appearance from leaf blast?,"Neck blast and leaf blast, while caused by the same fungus, exhibit distinct appearances due to the tissues they infect and their impact on plant development. Leaf blast manifests as spindle-shaped lesions on the rice leaves, characterized by a grayish center and dark reddish-brown margins. In contrast, neck blast specifically targets the node just below the panicle, the stem supporting the rice grain head. The primary symptom of neck blast is a dark brown to black discoloration and rotting of this neck node. This infection often causes the panicle to break over or remain upright and unfilled, a condition known as blasted neck"" or ""rotten neck"". Unlike the relatively flat leaf lesions"
Rice Blast,Symptoms,At what stage do lesions start to expand rapidly on rice leaves?,"Rice blast lesions typically begin to expand rapidly on rice leaves during periods of prolonged leaf wetness, high humidity, and moderate temperatures, particularly when the host plant is in a susceptible growth stage, such as tillering or heading. The fungal spores require a period of moisture to germinate and penetrate the leaf tissue. Once infection is established, a lesion can develop within 3-4 days under ideal conditions. The rapid expansion phase usually occurs a few days after initial infection when the fungus has established itself and starts to reproduce spores. Young, succulent leaves are often more susceptible to rapid lesion development than older, tougher leaves. The speed of lesion expansion is also influenced by the susceptibility of the rice cultivar and the aggressiveness of the specific _Magnaporthe oryzae_ strain. An environment with sustained leaf wetness, either from dew, rain, or irrigation, coupled with temperatures between 25-28°C (77-82°F), significantly accelerates the enlargement and sporulation of blast lesions."
Rice Blast,Symptoms,Do rice blast symptoms appear differently in dry and wet conditions?,"Yes, rice blast symptoms can appear differently or their development can be significantly influenced by dry and wet conditions. In prolonged wet conditions, characterized by high humidity, frequent rain, or extended dew periods, blast lesions develop rapidly and become more severe. The classic spindle-shaped lesions with grayish centers and dark borders are prominent, and on susceptible varieties, these lesions can merge to cover large areas of the leaf, leading to widespread blighting and even death of leaves or entire young plants. The fungus thrives and sporulates abundantly under moist conditions. Conversely, in dry conditions or when humidity is low, the development of blast lesions is significantly retarded. Lesions may remain small, appearing as pin-prick spots, or take on a more uniform brown, dried-out appearance without the typical grayish center, a phenomenon sometimes referred to as 'resistant lesions' or 'hypersensitive reaction'. The lesions might not sporulate effectively, and the spread of the disease slows down. While the pathogen needs moisture for infection, continuous dry periods can restrict its symptom expression and severity, though latent infections might persist, waiting for favorable wet conditions to reactivate."
Rice Blast,Symptoms,How can rice blast be distinguished from bacterial leaf blight?,"Rice blast and bacterial leaf blight (BLB) can be distinguished by observing their distinct symptom patterns. Rice blast causes characteristic spindle-shaped lesions with a grayish center and reddish-brown margins, appearing as discrete spots on the leaves. These lesions start as small dots and expand symmetrically. In contrast, bacterial leaf blight, caused by _Xanthomonas oryzae_ pv. _oryzae_, typically manifests as water-soaked streaks that begin at the leaf margins, often at injury points, and extend downwards along the veins, forming long, yellowish or whitish lesions with wavy margins. As BLB progresses, the affected leaf areas become yellowish, then grayish, and eventually dry up, turning straw-colored. A key differentiator is the creamy bacterial ooze"" that can be seen on bacterial blight lesions in humid conditions"
Rice Blast,Symptoms,What happens to the panicle when infected by neck blast?,"When a rice panicle is infected by neck blast, severe and devastating consequences occur that directly impact grain development and yield. The fungus attacks the neck node, which is the uppermost node just below the panicle, responsible for supporting the developing grains. The primary symptom is a dark brown to black discoloration of this neck region, which often causes it to rot. This rotting compromises the water and nutrient supply to the developing grains within the panicle. As a result, the grains either fail to fill properly, remaining empty and chalky (partially filled). In severe cases, especially if infection occurs early in panicle development, the entire panicle can be killed before any grain filling occurs, leading to chaffy panicles"" where no viable grains are produced. Another common outcome is the ""rotten neck"" or ""panicle break"
Rice Blast,Symptoms,Are circular or spindle-shaped lesions typical for rice blast?,"Spindle-shaped lesions are typical for rice blast. The most recognizable symptom of rice blast on leaves is the appearance of distinct, diamond-shaped or spindle-shaped lesions. These lesions are elliptical and pointed at both ends, resembling an eye. While initially they might appear as small, water-soaked, pinpoint dots, they quickly expand and elongate into this characteristic spindle morphology. The center of these mature lesions typically turns grayish-white or ash-gray due to sporulation of the fungus, while the margins are distinctly darker, usually reddish-brown or dark brown. This specific shape and color pattern are key diagnostic features. Circular lesions are not generally characteristic of rice blast; rather, they might be indicative of other fungal or bacterial leaf spots that affect rice, which are distinguished by their rounder form. Therefore, farmers and diagnosticians primarily look for the unique spindle or diamond shape to identify rice blast infection in the field."
Rice Blast,Symptoms,How does blast infection affect grain filling?,"Blast infection significantly impairs grain filling, particularly when the neck of the panicle is affected by neck blast. When the fungus attacks the neck node, the main vascular connection between the plant and the developing panicle is disrupted. This critical infection point prevents the efficient translocation of water, nutrients, and photosynthetic products (sugars) from the leaves to the grains. As a direct consequence, the developing grains are starved of essential resources required for their proper growth and maturation. Grains on infected panicles often remain partially filled or completely empty, leading to blank"" or ""chaffy"" grains. These unfilled grains are lightweight"
Rice Blast,Symptoms,Describe the 'neck blast' symptom and its consequences for rice yield.,"Neck blast is a particularly damaging symptom of rice blast disease that occurs when the fungus infects the node just below the panicle, the specialized plant structure that produces rice grains. The primary visual symptom of neck blast is a grayish-brown to black lesion that girdles or wraps around the ""neck"" of the panicle. This infection weakens the stem, often causing it to break, a phenomenon known as neck rot. The severe consequence of neck blast is the interruption of nutrient and water flow to the developing panicle. If the infection occurs early in the reproductive stage, it can completely prevent grain formation, leading to blank or unfilled kernels, and the panicle may turn white and stand erect as if bleached. Later infections result in incompletely filled grains, reducing both the quantity and quality of the harvest. This direct impact on the panicle makes neck blast a significant threat to overall rice yield, capable of causing substantial economic losses."
